Date,Ticker,Action,Shares,Price
2014-02-05,AAPL,BUY,54,18.306785583496094
2014-02-18,AAPL,SELL,54,19.499643325805664
2014-04-14,AAPL,BUY,57,18.63142967224121
2014-04-25,AAPL,SELL,57,20.426429748535156
2014-12-15,AAPL,BUY,43,27.0575008392334
2015-02-05,AAPL,SELL,43,29.985000610351562
2015-03-13,AAPL,BUY,41,30.897499084472656
2015-04-27,AAPL,SELL,41,33.162498474121094
2015-06-16,AAPL,BUY,43,31.899999618530273
2015-10-23,AAPL,SELL,43,29.770000457763672
2015-12-15,AAPL,BUY,46,27.622499465942383
2016-03-03,AAPL,SELL,46,25.375
2016-04-26,AAPL,BUY,45,26.087499618530273
2016-05-25,AAPL,SELL,45,24.905000686645508
2016-06-17,AAPL,BUY,47,23.832500457763672
2016-07-15,AAPL,SELL,47,24.69499969482422
2016-09-09,AAPL,BUY,45,25.782499313354492
2016-09-28,AAPL,SELL,45,28.487499237060547
2016-11-01,AAPL,BUY,46,27.872499465942383
2016-12-19,AAPL,SELL,46,29.15999984741211
2017-04-19,AAPL,BUY,38,35.16999816894531
2017-05-02,AAPL,SELL,38,36.877498626708984
2017-06-12,AAPL,BUY,39,36.35499954223633
2017-07-18,AAPL,SELL,39,37.52000045776367
2017-09-20,AAPL,BUY,37,39.01750183105469
2017-10-13,AAPL,SELL,37,39.247501373291016
2018-02-02,AAPL,BUY,36,40.125
2018-02-26,AAPL,SELL,36,44.74250030517578
2018-03-23,AAPL,BUY,39,41.23500061035156
2018-04-18,AAPL,SELL,39,44.459999084472656
2018-06-22,AAPL,BUY,38,46.22999954223633
2018-07-24,AAPL,SELL,38,48.25
2018-11-14,AAPL,BUY,39,46.70000076293945
2019-02-01,AAPL,SELL,39,41.630001068115234
2019-05-13,AAPL,BUY,35,46.43000030517578
2019-06-13,AAPL,SELL,35,48.537498474121094
